our_reference,qty,pack,code,description,retail,price,cost,total_goods
SORD00595099,1,1,CNT00066,2Work Plastic Mop Bucket with Wringer 15 Litre Green 102946GN,21.39,10.68,21.39,10.68
SORD00595099,1,1,CNT00707,180g Hygiene Socket Mop Head Blue 103061BU,6.26,3.12,6.26,3.12
SORD00595099,1,1,CNT00783,Aluminium Hygiene Socket Mop Handle Blue (For use with Hygiene Socket Mop Head) 103131BU,8.14,4.06,8.14,4.06
SORD00595099,1,1,CPD00634,2Work All-Purpose Cloth 600x300mm Blue (Pack of 50) 102840BU,4.21,2.1,4.21,2.1
SORD00595099,1,1,CPD30019,2Work Dishcloth 300x400mm White (Pack of 10) 100212,5.37,2.68,5.37,2.68
SORD00595099,5,1,CPD43427,Maxima Green 2-Ply White Toilet Roll 200 Sheet (Pack of 48) KMAX200G,22.13,11.05,22.13,55.25
SORD00595099,1,1,CPD70014,2Work Yellow Duster 508 x 355mm (Pack of 10) 103088,4.47,2.23,4.47,2.23
SORD00595099,1,1,CX00375,Stiff Bassine Broom with Handle 12 Inch VOW/F.10/BKT/C4,0,0,5.44,0
SORD00595099,2,1,CX03970,Dustpan and Brush Set Red (Soft bristled handle) 102940RD,0,0,1.93,0
SORD00595099,1,1,DU01764,Duracell Plus AA Battery (Pack of 4) 81275375,4.39,5.86,4.39,5.86
SORD00595099,1,1,DU03794,Duracell Ultra Power AAA Batteries (Pack of 4) 75051959,0,0,3.2,0
SORD00595099,1,1,DV10659,Cif Professional Multisurface and Window Cleaner 750ml 7517904,0,0,3.59,0
SORD00595099,3,1,HID43045,6-Way Surge Protection 13 Amp 2m Extension Lead White CEDTS6213AS,20.76,10.36,20.76,31.08
SORD00595099,1,1,KF01044,Q-Connect Half Strip Metal Stapler Black (Capacity: 20 sheets of 80gsm paper) KF01044,2.2,2.2,0.73,2.2
SORD00595099,1,10,KF01068,Q-Connect OHP Pen Permanent Fine Black (Pack of 10) KF01068,0,0,5.92,0
SORD00595099,1,1,KF01109,Q-Connect Ruler Shatterproof 300mm White (Features inches on one side and cm/mm on the other)KF01109,0,0,0.35,0
SORD00595099,1,1,KF01116,Q-Connect Assorted Highlighter Pens (Pack of 4) KF01116,1.12,0.56,1.12,0.56
SORD00595099,1,1,KF01138,Q-Connect Cutting Mat Non-Slip A1 Green KF01138,42.01,20.98,42.01,20.98
SORD00595099,3,1,KF01227,Q-Connect Scissors 210mm Black Stainless Steel CB101227,0.88,0.44,0.88,1.32
SORD00595099,1,1,KF01288,Q-Connect Grip Clip 32mm Black (Pack of 10) KF01288,6.35,3.17,6.35,3.17
SORD00595099,4,1,KF01304,Q-Connect Masonite Clipboard A4 KF01304,2.03,1.01,2.03,4.04
SORD00595099,1,1,KF01605,Q-Connect Semi-Desktop Calculator 12-Digit KF01605,13.61,6.79,13.61,6.79
SORD00595099,1,10,KF02018Q,Q-Connect Drawing Pins Brass (Pack of 1200) KF02018Q,9.79,4.89,9.79,4.89
SORD00595099,1,1,KF02293,Q-Connect Heavy Duty Stapler Black KF02293,27.39,13.67,27.39,13.67
SORD00595099,1,1,KF02604,Q-Connect Cash Box 12 Inch Black KF02604,9.16,4.57,17.56,4.57
SORD00595099,1,1,KF02604,Q-Connect Cash Box 12 Inch Black KF02604,9.16,4.57,17.56,4.57
SORD00595099,1,1,KF04114,Q-Connect A4 Laminating Pouch 160 Micron (Pack of 100) KF04114,17.6,8.79,15.53,8.79
SORD00595099,4,1,KF10632,Q-Connect Medium Duty 18mm Cutter M80BC,1.88,0.94,1.88,3.76
SORD00595099,1,1,KF10673,Q-Connect Rubber Bands Assorted Sizes 100g KF10673,2.86,1.43,2.86,1.43
SORD00595099,1,1,KF11241,Q-Connect A4 Guillotine (320mm Cutting Length 10 Sheet Capacity) KF11241,59.8,29.86,59.8,29.86
SORD00595099,1,10,KF20019,Q-Connect 70mm Lever Arch File Polypropylene A4 Black (Pack of 10) KF20019,27.02,13.49,27.02,13.49
